step,direct_contact_records,direct_active_point_count,direct_penetration_point_count,direct_min_separation_m,runtime_robot_collision_count,runtime_cabinet_unexpected_target_count,runtime_basket_unexpected_target_count,runtime_cabinet_penetration_count,runtime_basket_penetration_count
1,35,30,4,-0.00784745067358017,0,0,0,0,0
2,35,30,4,-0.007847476750612259,0,0,0,0,0
3,35,30,4,-0.007847476750612259,0,0,0,0,0
4,35,30,4,-0.007847476750612259,0,0,0,0,0
5,35,30,4,-0.007847476750612259,0,0,0,0,0
6,35,30,4,-0.007847476750612259,0,0,0,0,0
7,35,30,4,-0.007847476750612259,0,0,0,0,0
8,35,30,4,-0.007847476750612259,0,0,0,0,0
9,35,30,4,-0.007847476750612259,0,0,0,0,0
10,35,30,4,-0.007847476750612259,0,0,0,0,0
11,35,30,4,-0.007847476750612259,0,0,0,0,0
12,35,30,4,-0.007847476750612259,0,0,0,0,0
13,35,30,4,-0.007847476750612259,0,0,0,0,0
14,35,30,4,-0.007847476750612259,0,0,0,0,0
15,35,30,4,-0.007847476750612259,0,0,0,0,0
16,35,30,4,-0.007847476750612259,0,0,0,0,0
17,35,30,4,-0.007847476750612259,0,0,0,0,0
18,35,30,4,-0.007847476750612259,0,0,0,0,0
19,35,30,4,-0.007847476750612259,0,0,0,0,0
20,35,30,4,-0.007847476750612259,0,0,0,0,0
21,35,30,4,-0.007847476750612259,0,0,0,0,0
22,35,30,4,-0.007847476750612259,0,0,0,0,0
23,35,30,4,-0.007847476750612259,0,0,0,0,0
24,35,30,4,-0.007847476750612259,0,0,0,0,0
25,35,30,4,-0.007847476750612259,0,0,0,0,0
26,35,30,4,-0.007847476750612259,0,0,0,0,0
27,35,30,4,-0.007847476750612259,0,0,0,0,0
28,35,30,4,-0.007847476750612259,0,0,0,0,0
29,35,30,4,-0.007847476750612259,0,0,0,0,0
30,35,30,4,-0.007847476750612259,0,0,0,0,0
31,35,30,4,-0.007847476750612259,0,0,0,0,0
32,35,30,4,-0.007847476750612259,0,0,0,0,0
33,35,30,4,-0.007847476750612259,0,0,0,0,0
34,35,30,4,-0.007847476750612259,0,0,0,0,0
35,35,30,4,-0.007847476750612259,0,0,0,0,0
36,35,30,4,-0.007847476750612259,0,0,0,0,0
37,35,30,4,-0.007847476750612259,0,0,0,0,0
38,35,30,4,-0.007847476750612259,0,0,0,0,0
39,35,30,4,-0.007847476750612259,0,0,0,0,0
40,35,30,4,-0.007847476750612259,0,0,0,0,0
41,35,30,4,-0.007847476750612259,0,0,0,0,0
42,35,30,4,-0.007847476750612259,0,0,0,0,0
43,35,30,4,-0.007847476750612259,0,0,0,0,0
44,35,30,4,-0.007847476750612259,0,0,0,0,0
45,35,30,4,-0.007847476750612259,0,0,0,0,0
46,35,30,4,-0.007847476750612259,0,0,0,0,0
47,35,30,4,-0.007847476750612259,0,0,0,0,0
48,35,30,4,-0.007847476750612259,0,0,0,0,0
49,35,30,4,-0.007847476750612259,0,0,0,0,0
50,35,30,4,-0.007847476750612259,0,0,0,0,0
51,35,30,4,-0.007847476750612259,0,0,0,0,0
52,35,30,4,-0.007847476750612259,0,0,0,0,0
53,35,30,4,-0.007847476750612259,0,0,0,0,0
54,35,30,4,-0.007847476750612259,0,0,0,0,0
55,35,30,4,-0.007847476750612259,0,0,0,0,0
56,35,30,4,-0.007847476750612259,0,0,0,0,0
57,35,30,4,-0.007847476750612259,0,0,0,0,0
58,35,30,4,-0.007847476750612259,0,0,0,0,0
59,35,30,4,-0.007847476750612259,0,0,0,0,0
60,35,30,4,-0.007847476750612259,0,0,0,0,0
