step,target_qpos_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,direct_active_point_count,direct_penetration_point_count,direct_min_separation_m
1,0.0675,0.07510792464017868,0.06750000268220901,0.06750000268220901,0.007607924640178676,30,4,-0.00784745067358017
2,0.0675,0.07512233406305313,0.06750000268220901,0.06750000268220901,0.007622334063053127,34,4,-0.006969023495912552
3,0.0675,0.07533612102270126,0.06750000268220901,0.06750000268220901,0.007836121022701259,34,4,-0.006983410567045212
4,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197204977273941
5,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
6,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
7,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
8,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
9,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
10,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
11,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
12,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
13,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
14,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
15,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
16,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
17,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
18,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
19,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
20,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
21,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
22,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
23,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
24,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
25,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
26,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
27,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
28,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
29,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
30,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
31,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
32,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
33,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
34,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
35,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
36,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
37,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
38,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
39,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
40,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
41,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
42,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
43,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
44,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
45,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
46,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
47,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
48,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
49,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
50,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
51,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
52,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
53,0.0675,0.07533612847328186,0.06750000268220901,0.06750000268220901,0.007836128473281856,35,4,-0.007197219878435135
